,heading,text,bias_rating
1391,South Carolina Primary Will Test Hillary Clinton’s Grip on Obama’s Coattails,"Hillary Clinton recaptured momentum with her win against Bernie Sanders in the Nevada caucuses last weekend, but the South Carolina primary on Saturday will serve as the true test of whether she can excite the voters who shunned her in 2008 to support Barack Obama.
In her last campaign, the state shattered Mrs. Clinton’s hopes and frayed the relationship she and Bill Clinton had with black voters, dealing Mr. Obama a 28-percentage-point victory and convincing the country that his appeal extended beyond the largely white, liberal electorate of Iowa.",left
6360,State election officials push back on data request from Trump voter fraud panel,"State election officials around the country pushed back Friday against a request by President Trump's voter fraud commission for states to hand over detailed information about their voters, including birth dates, parts of Social Security numbers and voting histories.",left
21038,Tillerson Says 'All Of The Options Are On The Table' In Dealing With North Korea,"Secretary of State Rex Tillerson says the U.S. doesn't want to take military action against North Korea, but ""all of the options are on the table"" if a serious threat arises. Tillerson made his frank remarks in a visit to South Korea on Friday, a day after saying diplomatic efforts ""have failed"" to persuade North Korea to abandon its nuclear program.",left
19145,"Baltimore: After riots, protesters and police ensure peace","In Baltimore, the numbers alone show the stark contrast between Monday's lawlessness and Tuesday's restraint.",left
4196,Live Blog: Digging Into The #UkraineDocs,"Late on Dec. 20, the Department of Justice sent a batch of documents to the Center for Public Integrity showing communications between the White House and the Pentagon regarding U.S. military aid to Ukraine.
The documents were delivered under court order after Public Integrity won a Freedom of Information Act lawsuit against the Defense Department, seeking details on President Donald Trump’s delay of the aid after he pressed Ukraine’s prime minister to open investigations on the 2016 presidential election and former Vice President Joe Biden’s son, Hunter.",left
4356,U.S. tops 6 million coronavirus cases,"The United States on Monday topped 6 million confirmed cases of COVID-19, according to data compiled by Johns Hopkins University. The U.S. has reported a million more coronavirus cases and about 21,000 more deaths in just the past three weeks.
The grim milestone continues a trend that sees the U.S. reporting far more confirmed cases and higher numbers of coronavirus-related deaths than any other country in the world. Brazil and India both have more than 3.5 million cases and Russia has nearly 1 million, though critics have cast doubt...",left
14188,'Piece of theater': Legal experts weigh in on Kyle Rittenhouse’s seating jurors deciding his fate by lottery,"Kyle Rittenhouse could spend the next several decades of his life behind bars or soon walk free from a Wisconsin courthouse.
And pieces of paper he grabbed at random with his right hand will have played a major role in the life-turning outcome.
In an ""interesting piece of theater"" in his high-profile trial, Rittenhouse was directed Tuesday to blindly pick the seven women and five men who will decide whether he is criminally responsible for killing two men during protests last year over the police shooting Jacob Blake, a Black man in...",left
12570,"2020’s marijuana legalization ballot measures, explained","Between the presidential election, governors’ races, and down-ballot contests, this year’s election features a lot of important choices. Among those, voters in five states will have a chance to legalize marijuana for recreational or medical uses.
In Arizona, Montana, New Jersey, and South Dakota, voters could legalize marijuana for recreational purposes. In Mississippi and South Dakota (in a ballot initiative separate from the full legalization measure), voters could also legalize medical marijuana.
If all these measures are approved, the United States would go from having 11 states in which marijuana...",left
4037,This Is Precisely The Right Time To Talk About Guns,It is time for Americans to ask ourselves: What kind of country do we want to live in?,left
6940,Zelensky dismisses Ukraine's prosecutor general and spy chief over leadership concerns,"Ukrainian President Volodymyr Zelensky announced on Sunday he has dismissed Prosecutor General Iryna Venediktova and Security Service head Ivan Bakanov, due to concerns over their leadership and the number of officials in their departments suspected of treason.
Zelensky said as of Sunday, 651 criminal proceedings have been ""registered regarding treason and collaboration activities of employees of prosecutor's offices, pretrial investigation bodies, and other law enforcement agencies,"" and more than 60 employees of the prosecutor's office and Security Service remain in ""the occupied territory and are working against our state.""
It was necessary...",left
14849,Moderna says its COVID-19 vaccine is 96% effective in teens,"Moderna's COVID-19 vaccine is 96% effective in teenagers 12- to 17-years-old, the drugmaker said Thursday. The company announced results of the Phase 2 trial in reporting first-quarter earnings. Its vaccine generated $1.7 billion in revenue in its fiscal first quarter.
Evidence that Moderna's vaccine is effective in teens comes as rival Pfizer is expected to receive federal authorization by early next week to use its COVID-19 vaccine in adolescents. Federal approval of one or more vaccines against the disease could enable many American middle and high school students to be...",left
9577,Hong Kong Protests: Huge Turnout Keeps Heat on City’s Leader,"Hong Kong’s chief executive apologized to the public on Sunday after a surprisingly large and defiant crowd poured onto the streets and converged on government offices. The protest capped a week of heated protests and soul-searching questions about the city’s ability to maintain some semblance of autonomy from mainland China.
Many opponents of an unpopular bill, slated to allow extraditions to mainland China, focused their anger on the territory’s chief executive, Carrie Lam, who insisted on pushing through the legislation despite a public outcry that grew into a series...",left
21044,"China says Beijing, US to lift tariff hikes as talks advance","Beijing and Washington have agreed to reduce some punitive tariffs on each other’s goods as talks on ending their trade war progress, a Chinese spokesman said Thursday, removing a possible stumbling block to a settlement.
The agreement came during talks aimed at working out details of a “Phase 1” deal announced Oct. 12. Financial markets were rattled by reports China was pushing for tariffs to be lifted, which raised the possibility of a breakdown in talks.
Negotiators agreed to a “phased cancellation” of tariff hikes if talks progress, said a...",left
5079,C.D.C. Withheld Significant Amount of Pandemic Related Data,"The C.D.C. has only published a fraction of the data it has collected since the onset of the pandemic two years ago, withholding significant data and information that could have supported local officials in targeting their pandemic mitigation efforts.
The agency is only now sharing wastewater data with the public, despite having access to state wastewater information since the beginning of the pandemic. Additionally, it has collected hospitalization data according to age, race, and vaccination status for over a year, but most of the information hasn’t been released. According...",left
8719,'A Big Mistake': Economists Warn Fed Rate Hikes Risk Plunging US Into Recession,"The Federal Reserve's decision Wednesday to hike interest rates by 75 basis points—the largest increase since 1994—heightened fears among economists that the central bank's attempt to tame inflation risks plunging the U.S. economy into recession and inflicting more pain on vulnerable workers.
The Fed's move came on the heels of worse-than-expected federal data showing that inflation jumped 8.6% in May compared to a year earlier, prompting central bank officials to pursue more aggressive federal-funds rate increases, the Fed's blunt tool to rein in consumer prices.",left
16778,"Trump is defiant as border crisis escalates, prepares to lobby House GOP on immigration bills","As he prepared to visit Capitol Hill, President Trump on Tuesday continued to insist that Congress produce comprehensive immigration legislation, while anxious Republicans explored a narrower fix to the administration policy of separating migrant children from their parents.",left
13347,"After hits from King and Christie, Rand Paul fires back on Sandy aid","Senator Rand Paul attempted to rebut recent criticism of his stance on national security issues on Sunday, telling attendees of a Republican fundraiser in Tennessee that New Jersey Governor Chris Christie and GOP Representative Peter King of New York were depleting the government's coffers by asking for federal disaster relief.",left
4171,Fauci warns Senate that reopening U.S. too quickly could lead to ‘really serious’ consequences,"Top federal health officials are being pressed during a highly anticipated Senate hearing Tuesday on whether the country is ready to reopen, with Anthony S. Fauci, the nation’s top infectious-disease expert, warning that “consequences could be really serious” if states move too quickly.
The panel’s chairman and witnesses are appearing remotely in an unusual session that includes the first congressional testimony from Fauci, a key member of the White House task force, since President Trump declared the coronavirus crisis a national emergency March 13.
Appearing with Fauci are Stephen Hahn,...",left
1487,"Reid: Senate closer to deal on shutdown, debt ceiling","President Barack Obama said Monday there had been some progress in Senate negotiations on a possible compromise to reopen the federal government and avoid a U.S. default as soon as Thursday. And he added that the partial shutdown of the government for the past two weeks was ""completely unnecessary,"" and he blamed the use of ""brinksmanship as a strategy time and time again to try to extract extreme or partisan concessions.""",left
18706,Sessions’s Senate Testimony: How to Watch and What to Expect,"Attorney General Jeff Sessions is scheduled to testify on Tuesday, starting at 2:30 p.m. Eastern, before the Senate Intelligence Committee about matters linked to the investigation into Russia’s interference in the 2016 election. Follow our briefing here throughout the day for the latest updates and live video once the hearing begins.",left
